로트번호,설비,작업조,원자재공급사,용접전류,용접속도,예열온도,판두께,작업시간,습도,품질판정
LOT00309,1호기,C조,가공업체,196.2,34.01,136.7,4.38,27.2,42.8,양품
LOT00310,2호기,B조,가공업체,197.5,36.42,146.1,6.45,32.3,46.0,양품
LOT00311,1호기,A조,가공업체,189.8,46.51,116.1,5.43,52.8,66.8,양품
LOT00312,1호기,C조,나공업체,209.2,33.9,165.5,7.18,39.4,56.3,양품
LOT00313,3호기,A조,나공업체,162.0,40.45,185.5,6.71,49.6,53.2,양품
LOT00314,3호기,C조,나공업체,205.7,38.76,176.4,5.68,36.7,64.3,양품
LOT00315,2호기,C조,나공업체,199.9,47.61,145.9,6.03,27.2,58.5,양품
LOT00316,1호기,C조,다공업체,174.9,42.39,111.8,5.48,48.2,57.3,불량
LOT00317,2호기,B조,나공업체,165.9,39.38,119.9,5.29,34.4,36.1,양품
LOT00318,2호기,B조,다공업체,178.8,35.98,133.7,5.54,31.6,62.0,불량
LOT00319,4호기,C조,나공업체,184.0,29.92,132.3,4.96,30.2,75.1,불량
LOT00320,3호기,C조,다공업체,187.1,47.87,147.3,6.39,24.2,61.4,불량
LOT00321,3호기,C조,가공업체,199.4,43.14,184.5,6.88,31.4,75.3,양품
LOT00322,2호기,C조,가공업체,193.3,44.25,146.1,6.5,37.8,31.5,양품
LOT00323,1호기,A조,나공업체,188.1,45.79,142.5,6.43,42.0,49.2,불량
LOT00324,2호기,A조,다공업체,209.1,41.73,168.6,3.95,32.1,42.8,양품
LOT00325,3호기,B조,가공업체,212.8,40.84,148.9,6.39,37.9,65.6,양품
LOT00326,2호기,A조,나공업체,191.2,43.39,147.5,5.95,42.7,43.2,양품
LOT00327,3호기,B조,나공업체,183.7,42.59,120.4,5.97,36.2,54.4,불량
LOT00328,3호기,B조,나공업체,190.9,51.41,131.1,5.49,40.9,62.9,양품
LOT00329,3호기,C조,다공업체,170.8,35.4,165.9,6.29,38.2,73.0,불량
LOT00330,4호기,C조,가공업체,205.8,44.42,140.6,4.98,45.2,53.7,불량
LOT00331,2호기,A조,나공업체,202.0,39.17,149.2,6.58,38.1,46.9,양품
LOT00332,1호기,B조,다공업체,191.5,37.98,168.7,5.24,30.7,66.2,양품
LOT00333,2호기,C조,나공업체,181.5,44.35,159.5,6.94,32.1,58.1,양품
LOT00334,1호기,A조,다공업체,180.9,42.08,141.8,5.26,38.6,55.9,양품
LOT00335,2호기,A조,다공업체,179.6,42.7,128.9,5.72,47.9,64.1,양품
LOT00336,2호기,C조,나공업체,197.4,39.36,178.6,7.02,52.4,48.5,불량
LOT00337,1호기,C조,가공업체,209.6,40.39,139.1,6.47,39.0,39.3,양품
LOT00338,3호기,C조,다공업체,184.8,53.38,153.9,6.8,35.8,66.6,불량
LOT00339,1호기,A조,가공업체,181.5,41.43,122.7,4.98,22.4,38.1,양품
LOT00340,3호기,B조,가공업체,185.2,36.98,161.8,4.97,30.1,71.5,불량
LOT00341,2호기,A조,가공업체,201.1,36.84,132.4,5.94,15.1,70.7,양품
LOT00342,1호기,C조,다공업체,184.3,40.84,163.7,6.51,35.0,60.1,양품
LOT00343,2호기,A조,가공업체,159.1,36.99,132.3,6.08,47.1,46.2,양품
LOT00344,2호기,C조,다공업체,229.3,49.16,138.6,5.75,45.6,60.6,불량
LOT00345,2호기,B조,가공업체,182.7,43.68,164.3,6.16,30.1,55.1,양품
LOT00346,1호기,B조,나공업체,187.5,42.83,154.3,5.48,36.3,58.5,양품
LOT00347,3호기,B조,가공업체,184.2,35.43,145.5,7.05,40.9,37.3,양품
LOT00348,1호기,C조,나공업체,177.4,37.99,131.6,6.07,38.6,58.3,양품
LOT00349,4호기,B조,나공업체,189.6,50.52,110.3,6.2,31.8,40.3,양품
LOT00350,2호기,A조,나공업체,177.9,33.98,145.9,7.32,25.5,45.5,양품
LOT00351,3호기,A조,가공업체,175.3,55.37,122.2,6.87,30.5,56.0,불량
LOT00352,1호기,A조,나공업체,188.8,46.78,125.8,7.52,44.8,55.0,양품
LOT00353,2호기,B조,나공업체,189.3,46.56,149.3,5.27,33.6,34.8,불량
LOT00354,3호기,A조,가공업체,171.5,46.22,137.8,6.58,39.6,49.7,양품
LOT00355,1호기,B조,가공업체,181.6,30.34,132.5,6.63,38.4,57.7,양품
LOT00356,4호기,B조,가공업체,198.6,40.71,173.5,6.54,54.8,60.2,양품
LOT00357,3호기,B조,가공업체,192.0,44.84,137.4,5.81,23.8,38.1,양품
LOT00358,2호기,A조,가공업체,199.7,39.41,163.6,5.41,20.3,51.8,불량
LOT00359,1호기,C조,나공업체,188.3,42.42,136.9,6.59,17.6,62.9,불량
LOT00360,2호기,A조,가공업체,174.3,46.87,151.1,7.7,26.2,72.4,양품
LOT00361,2호기,A조,나공업체,187.9,42.99,120.4,6.66,44.9,58.2,양품
LOT00362,1호기,B조,다공업체,185.7,46.91,143.3,8.01,30.7,58.0,양품
LOT00363,3호기,C조,가공업체,186.4,50.36,178.9,6.19,17.6,56.2,양품
LOT00364,4호기,A조,나공업체,157.6,41.5,161.1,6.46,37.6,50.5,불량
LOT00365,1호기,B조,나공업체,203.1,38.04,138.6,6.56,45.8,33.7,양품
LOT00366,1호기,C조,가공업체,169.9,39.24,113.5,4.61,44.0,62.5,양품
LOT00367,3호기,B조,가공업체,200.3,45.11,163.0,7.04,35.8,38.5,양품
LOT00368,1호기,C조,가공업체,198.5,47.43,119.3,6.99,40.4,67.2,양품
LOT00369,1호기,C조,가공업체,184.2,43.25,138.9,7.59,43.0,55.7,양품
LOT00370,2호기,A조,나공업체,166.8,28.42,166.1,7.24,33.2,72.6,양품
LOT00371,2호기,A조,나공업체,185.7,44.23,145.8,6.13,42.6,59.6,양품
LOT00372,2호기,C조,가공업체,191.7,32.93,137.7,5.66,42.4,54.5,양품
LOT00373,2호기,C조,나공업체,163.6,43.92,121.1,6.25,31.0,36.5,불량
LOT00374,2호기,A조,가공업체,150.6,36.81,156.9,6.1,55.6,74.0,불량
LOT00375,2호기,B조,다공업체,197.6,41.76,144.8,5.46,48.3,53.2,양품
LOT00376,2호기,B조,가공업체,186.0,45.36,119.0,6.63,59.2,32.2,양품
LOT00377,2호기,C조,나공업체,182.9,39.05,136.3,5.94,53.2,42.5,양품
LOT00378,2호기,B조,다공업체,151.0,45.59,166.7,4.79,33.8,65.1,불량
LOT00379,4호기,A조,다공업체,202.1,48.2,148.0,6.9,40.5,57.6,양품
LOT00380,4호기,A조,다공업체,187.0,37.34,151.1,5.46,42.9,51.9,양품
LOT00381,3호기,B조,나공업체,168.3,46.72,145.6,6.35,50.8,63.9,불량
LOT00382,3호기,B조,나공업체,183.4,43.56,,5.19,43.2,53.1,양품
LOT00383,4호기,A조,가공업체,205.1,37.58,152.4,7.28,43.0,51.8,불량
LOT00384,1호기,A조,다공업체,166.7,40.26,134.3,6.62,34.2,36.3,양품
LOT00385,2호기,A조,다공업체,207.0,43.5,139.5,5.88,27.2,54.9,양품
LOT00386,2호기,A조,가공업체,138.4,31.55,152.0,6.15,57.6,58.3,불량
LOT00387,1호기,B조,가공업체,191.6,33.1,143.2,5.09,45.7,71.2,양품
LOT00388,3호기,A조,나공업체,195.4,48.44,145.5,7.94,29.2,49.7,불량
LOT00389,2호기,A조,가공업체,201.5,45.01,147.7,7.05,36.5,51.6,양품
LOT00390,2호기,B조,가공업체,168.9,43.18,120.1,7.24,36.1,58.2,양품
LOT00391,1호기,C조,다공업체,200.9,39.84,156.4,6.53,25.6,59.4,불량
LOT00392,1호기,C조,가공업체,199.1,45.95,155.9,6.63,40.1,76.7,양품
LOT00393,4호기,A조,나공업체,190.8,34.07,152.6,3.34,40.8,58.7,양품
LOT00394,3호기,A조,가공업체,177.8,42.19,173.2,6.36,37.1,67.3,양품
LOT00395,1호기,B조,가공업체,194.6,40.77,142.9,6.45,27.4,36.5,양품
LOT00396,2호기,B조,가공업체,161.9,43.23,168.1,5.4,37.8,63.1,불량
LOT00397,1호기,B조,가공업체,189.2,44.09,141.5,7.13,46.1,63.1,양품
LOT00398,3호기,B조,다공업체,200.9,46.06,145.1,5.55,29.2,59.7,양품
LOT00399,1호기,A조,나공업체,192.1,49.09,157.3,8.89,37.4,61.4,양품
LOT00400,2호기,B조,가공업체,157.7,41.11,137.6,6.69,29.9,65.0,양품
LOT00401,4호기,B조,가공업체,207.5,45.69,150.9,6.46,43.8,79.4,양품
LOT00402,4호기,B조,나공업체,198.8,43.78,172.6,6.28,35.9,47.6,불량
LOT00403,2호기,C조,가공업체,179.4,44.14,144.6,5.67,50.9,72.7,양품
LOT00404,2호기,C조,나공업체,175.7,46.98,131.1,5.62,46.1,31.8,양품
LOT00405,1호기,B조,가공업체,183.1,32.09,133.6,6.68,28.9,56.8,양품
LOT00406,1호기,A조,다공업체,181.6,38.56,135.6,8.03,46.8,43.2,양품
LOT00407,3호기,C조,나공업체,184.6,45.94,171.7,5.77,42.8,58.3,양품
LOT00408,3호기,B조,나공업체,202.1,38.02,172.5,6.89,42.2,87.2,양품
LOT00409,3호기,C조,가공업체,172.1,44.54,187.6,4.7,28.0,63.1,양품
LOT00410,3호기,C조,다공업체,192.8,48.58,152.7,6.09,32.9,51.1,불량
LOT00411,4호기,C조,다공업체,180.8,48.24,142.9,5.4,51.9,76.2,양품
LOT00412,2호기,B조,나공업체,169.1,42.86,163.6,5.06,25.9,36.8,양품
LOT00413,2호기,C조,가공업체,170.2,43.18,146.9,6.44,23.2,61.7,양품
LOT00414,3호기,C조,나공업체,189.7,44.84,174.1,6.34,44.6,52.4,양품
LOT00415,3호기,C조,다공업체,161.9,40.98,149.6,4.68,40.1,75.2,불량
LOT00416,4호기,B조,가공업체,195.8,50.8,155.7,7.1,38.2,64.9,양품
LOT00417,3호기,A조,가공업체,190.4,41.61,165.6,4.99,33.4,61.0,양품
LOT00418,3호기,C조,가공업체,177.5,46.38,172.3,5.92,43.4,72.7,양품
LOT00419,4호기,C조,가공업체,177.7,44.09,132.2,6.71,56.2,52.9,양품
LOT00420,3호기,B조,가공업체,172.8,43.81,165.8,7.73,50.1,69.4,양품
LOT00421,3호기,B조,가공업체,196.5,39.89,153.4,6.07,35.4,42.8,양품
LOT00422,1호기,B조,다공업체,203.9,50.87,119.1,5.91,47.6,54.4,양품
LOT00423,2호기,A조,가공업체,181.1,43.62,141.5,5.53,35.4,49.9,양품
LOT00424,2호기,B조,가공업체,186.9,49.78,159.1,6.37,28.8,55.4,양품
LOT00425,1호기,B조,가공업체,186.6,42.8,150.4,6.41,27.0,75.4,양품
LOT00426,3호기,A조,나공업체,184.5,38.78,138.7,4.98,44.9,58.6,양품
LOT00427,3호기,C조,가공업체,190.2,35.47,162.5,6.89,40.2,52.4,불량
LOT00428,1호기,A조,가공업체,202.6,36.7,182.7,4.77,36.9,59.5,양품
LOT00429,1호기,A조,가공업체,206.1,45.63,133.7,5.7,29.8,37.8,양품
LOT00430,1호기,B조,가공업체,181.0,43.0,166.6,7.19,46.6,45.6,양품
LOT00431,1호기,B조,나공업체,177.9,27.65,130.6,7.2,54.1,59.6,양품
LOT00432,3호기,B조,나공업체,181.4,37.37,151.2,4.92,52.6,49.9,양품
LOT00433,2호기,C조,나공업체,189.5,37.36,157.4,6.83,40.4,38.5,불량
LOT00434,1호기,C조,가공업체,174.2,36.37,139.5,6.38,28.5,67.1,양품
LOT00435,4호기,B조,가공업체,194.1,43.42,149.7,8.1,28.9,36.5,양품
LOT00436,1호기,A조,가공업체,197.3,47.78,157.0,8.32,31.1,70.3,양품
LOT00437,3호기,A조,가공업체,181.5,39.53,146.6,5.7,39.5,42.2,양품
LOT00438,4호기,B조,가공업체,184.3,45.66,117.4,8.45,27.2,49.7,양품
LOT00439,3호기,C조,가공업체,158.2,43.91,161.4,6.65,26.0,51.6,양품
LOT00440,2호기,B조,나공업체,190.2,38.66,166.6,7.11,35.1,44.6,양품
LOT00441,2호기,A조,가공업체,194.9,46.44,130.2,6.47,34.1,36.2,양품
LOT00442,2호기,A조,가공업체,190.4,38.2,187.1,5.26,32.9,46.9,양품
LOT00443,2호기,A조,다공업체,198.7,40.17,115.3,5.27,39.0,58.6,불량
LOT00444,2호기,C조,가공업체,208.4,55.29,145.0,6.46,27.0,64.7,양품
LOT00445,1호기,C조,다공업체,173.4,53.03,152.7,4.81,39.1,55.0,양품
LOT00446,4호기,A조,가공업체,177.3,38.59,134.7,5.27,39.9,62.9,양품
LOT00447,4호기,C조,가공업체,167.8,38.15,143.7,6.47,41.2,41.2,양품
LOT00448,4호기,B조,가공업체,190.1,41.61,151.1,6.06,45.3,55.2,양품
LOT00449,1호기,C조,나공업체,178.3,39.78,113.3,6.1,24.5,45.9,양품
LOT00450,2호기,A조,가공업체,217.5,38.48,137.0,5.76,32.8,42.7,불량
LOT00451,1호기,A조,가공업체,201.2,44.33,147.1,5.86,48.8,61.5,양품
LOT00452,1호기,B조,나공업체,184.8,42.57,155.9,5.15,41.3,50.7,양품
LOT00453,2호기,B조,가공업체,182.6,39.86,123.0,4.85,41.3,40.3,양품
LOT00454,2호기,C조,나공업체,192.3,43.26,157.4,5.87,29.3,51.5,양품
LOT00455,3호기,C조,가공업체,198.2,37.22,125.2,5.33,38.7,68.3,양품
LOT00456,2호기,B조,가공업체,166.5,40.53,148.3,6.35,42.8,43.2,양품
LOT00457,3호기,C조,다공업체,182.2,39.75,139.7,7.56,29.8,66.3,양품
LOT00458,1호기,B조,가공업체,196.0,48.01,165.5,5.26,44.4,49.2,양품
LOT00459,3호기,A조,가공업체,202.4,38.41,144.6,5.96,45.7,66.1,양품
LOT00460,3호기,C조,나공업체,183.3,49.81,116.9,7.09,38.5,74.0,불량
LOT00461,3호기,C조,다공업체,172.3,47.08,165.1,5.41,25.3,63.0,양품
LOT00462,2호기,C조,가공업체,186.6,31.02,134.8,6.97,31.2,39.6,양품
LOT00463,4호기,B조,가공업체,175.3,34.95,143.6,6.36,52.7,64.0,불량
LOT00464,3호기,C조,가공업체,185.4,47.43,167.2,7.24,47.6,56.6,양품
LOT00465,1호기,B조,나공업체,180.2,31.89,172.0,6.63,41.4,45.7,양품
LOT00466,1호기,C조,다공업체,192.5,38.08,154.4,5.7,30.6,81.7,양품
LOT00467,2호기,A조,나공업체,176.9,33.25,172.1,5.19,25.4,49.2,불량
LOT00468,1호기,C조,나공업체,201.5,47.25,138.3,5.59,41.9,38.8,양품
LOT00469,1호기,C조,가공업체,172.4,38.64,165.5,5.65,40.4,50.5,양품
LOT00470,2호기,B조,나공업체,189.2,42.07,157.4,7.99,31.0,57.4,양품
LOT00471,3호기,A조,가공업체,192.6,39.83,149.9,5.81,37.0,28.1,양품
LOT00472,2호기,B조,나공업체,194.2,47.4,160.9,5.57,12.1,62.9,불량
LOT00473,2호기,C조,나공업체,180.7,47.32,156.8,5.91,35.9,64.2,양품
LOT00474,1호기,C조,다공업체,148.8,43.9,127.5,6.19,38.5,75.7,불량
LOT00475,1호기,B조,다공업체,206.6,40.22,164.4,6.75,27.0,68.5,양품
LOT00476,1호기,C조,가공업체,194.9,38.19,132.3,5.28,32.3,69.4,양품
LOT00477,2호기,A조,가공업체,169.4,45.22,127.9,5.26,24.2,43.6,불량
LOT00478,1호기,A조,다공업체,183.9,43.94,145.8,5.78,29.2,77.6,양품
LOT00479,1호기,C조,가공업체,196.4,44.53,135.7,5.9,31.6,72.5,불량
LOT00480,3호기,C조,가공업체,190.4,28.23,181.0,5.65,39.4,52.0,양품
LOT00481,4호기,B조,가공업체,188.4,50.6,135.8,5.72,44.4,64.3,양품
LOT00482,2호기,A조,가공업체,161.8,43.64,155.2,6.17,42.0,39.7,양품
LOT00483,3호기,C조,가공업체,209.1,47.06,141.5,5.9,35.1,78.3,양품
LOT00484,3호기,A조,나공업체,164.5,42.8,155.7,6.13,22.9,38.4,양품
LOT00485,2호기,A조,다공업체,165.4,33.74,163.6,5.88,37.0,57.1,양품
LOT00486,1호기,A조,가공업체,172.2,44.05,136.1,6.01,23.6,71.8,양품
LOT00487,3호기,A조,가공업체,162.3,42.75,151.8,6.67,40.7,58.1,양품
LOT00488,3호기,C조,나공업체,189.2,37.56,191.5,5.84,39.9,46.9,양품
LOT00489,3호기,B조,가공업체,171.2,48.65,169.2,5.99,43.5,61.5,양품
LOT00490,2호기,C조,가공업체,189.3,43.33,114.8,6.27,32.4,44.1,양품
LOT00491,3호기,B조,다공업체,182.0,40.37,145.1,7.17,44.9,66.9,양품
LOT00492,1호기,B조,다공업체,188.8,31.93,129.8,6.92,31.9,59.5,불량
LOT00493,3호기,B조,나공업체,180.6,38.83,164.9,6.4,35.3,42.6,양품
LOT00494,4호기,A조,나공업체,180.3,32.9,150.6,5.23,26.4,60.1,양품
LOT00495,1호기,B조,가공업체,198.2,35.58,145.1,5.3,33.0,68.1,양품
LOT00496,1호기,C조,가공업체,168.4,36.32,146.5,7.49,34.1,32.9,양품
LOT00497,2호기,B조,나공업체,172.9,43.32,181.0,5.62,30.9,39.5,양품
LOT00498,2호기,B조,가공업체,172.1,38.05,141.2,5.15,37.4,42.0,양품
LOT00499,1호기,C조,가공업체,170.1,40.95,182.7,6.61,45.8,53.8,양품
LOT00500,1호기,B조,가공업체,200.0,31.96,163.5,7.01,47.6,59.3,양품
LOT00501,1호기,B조,나공업체,189.5,50.21,164.5,7.88,44.2,66.7,양품
LOT00502,3호기,A조,다공업체,188.8,39.69,141.9,6.26,49.1,52.3,불량
LOT00503,2호기,C조,다공업체,186.4,42.18,153.9,6.07,36.6,42.7,양품
LOT00504,2호기,C조,가공업체,195.6,31.15,159.1,4.9,23.9,87.0,양품
LOT00505,2호기,C조,다공업체,171.0,46.89,157.6,6.27,31.3,47.1,양품
LOT00506,3호기,B조,가공업체,166.1,42.48,154.7,6.16,39.6,65.8,양품
LOT00507,1호기,A조,나공업체,176.9,50.39,178.3,7.22,35.9,55.9,양품
LOT00508,1호기,C조,가공업체,166.2,41.25,147.4,7.73,24.6,47.3,양품
LOT00509,2호기,B조,나공업체,182.1,50.7,148.4,6.89,45.1,64.3,불량
LOT00510,3호기,C조,다공업체,177.3,41.03,164.6,6.46,35.0,40.6,양품
LOT00511,3호기,B조,가공업체,162.6,40.96,147.6,4.9,30.2,36.7,양품
LOT00512,2호기,C조,가공업체,192.3,41.12,149.1,4.62,12.1,58.1,양품
LOT00513,3호기,B조,가공업체,169.3,43.73,143.7,5.52,42.5,42.8,불량
LOT00514,4호기,C조,나공업체,182.4,45.06,127.3,5.46,34.8,44.6,양품
LOT00515,4호기,B조,나공업체,174.3,44.1,163.4,6.36,28.3,70.3,양품
LOT00516,3호기,A조,가공업체,196.5,34.91,163.5,6.57,45.0,66.1,양품
LOT00517,1호기,B조,나공업체,194.4,37.56,121.8,6.26,23.9,47.4,양품
LOT00518,1호기,C조,가공업체,193.3,38.78,162.3,6.11,35.0,50.4,양품
LOT00519,3호기,C조,가공업체,194.1,44.07,152.3,7.32,38.6,63.9,양품
LOT00520,1호기,A조,다공업체,197.9,45.69,175.9,6.38,22.6,54.2,양품
LOT00521,1호기,C조,가공업체,189.4,48.59,156.7,6.6,30.1,47.2,불량
LOT00522,2호기,B조,다공업체,194.6,49.0,130.9,4.85,31.9,34.2,불량
LOT00523,1호기,A조,가공업체,169.7,38.0,146.3,6.49,43.2,58.2,불량
LOT00524,1호기,C조,나공업체,181.6,39.84,139.0,5.98,51.9,58.7,양품
LOT00525,2호기,B조,나공업체,189.8,35.1,166.9,7.0,47.3,73.7,양품
LOT00526,2호기,C조,다공업체,182.0,48.74,117.0,6.25,47.9,50.6,불량
LOT00527,2호기,B조,가공업체,210.5,51.56,150.0,6.04,37.5,40.2,불량
LOT00528,2호기,B조,다공업체,180.8,44.28,164.2,6.8,23.4,43.9,양품
LOT00529,2호기,B조,가공업체,183.1,54.62,113.1,6.04,38.2,50.6,양품
LOT00530,3호기,B조,가공업체,172.6,40.21,136.6,6.25,34.4,56.3,양품
LOT00531,1호기,B조,다공업체,209.1,37.96,132.9,5.59,28.9,65.8,양품
LOT00532,3호기,C조,가공업체,183.1,37.76,169.4,7.44,18.6,56.5,불량
LOT00533,2호기,C조,다공업체,183.2,37.95,174.2,5.73,42.1,47.7,양품
LOT00534,1호기,B조,다공업체,198.7,53.14,141.4,5.13,13.9,49.3,양품
LOT00535,2호기,B조,가공업체,185.3,50.08,148.7,6.94,33.8,62.0,양품
LOT00536,2호기,A조,가공업체,167.3,35.43,158.5,5.02,38.6,48.7,양품
LOT00537,2호기,A조,나공업체,194.5,45.43,162.8,6.19,35.3,63.8,불량
LOT00538,3호기,C조,나공업체,202.3,46.96,132.3,7.25,38.2,77.1,양품
LOT00539,1호기,C조,나공업체,203.0,41.26,146.1,4.28,37.7,60.2,양품
LOT00540,1호기,C조,가공업체,177.5,34.4,147.0,6.6,31.2,47.0,불량
LOT00541,3호기,B조,가공업체,176.4,47.1,156.2,7.33,44.3,38.8,양품
LOT00542,3호기,C조,가공업체,170.5,42.32,159.3,5.19,37.4,53.6,양품
LOT00543,4호기,C조,나공업체,195.8,49.17,123.5,7.16,43.3,44.1,양품
LOT00544,2호기,C조,나공업체,170.2,42.6,148.5,8.44,45.2,40.0,양품
LOT00545,2호기,A조,다공업체,175.9,36.73,150.7,5.72,31.3,51.5,불량
LOT00546,3호기,C조,나공업체,183.9,36.35,148.1,5.28,42.9,74.3,양품
LOT00547,2호기,B조,가공업체,169.2,38.41,148.3,6.6,21.4,45.4,양품
LOT00548,4호기,A조,나공업체,183.9,34.56,134.9,5.61,38.1,50.9,불량
LOT00549,2호기,B조,가공업체,195.7,31.39,139.4,5.68,18.7,54.5,양품
LOT00550,3호기,A조,나공업체,186.5,37.56,115.7,5.12,32.1,54.9,불량
LOT00551,3호기,B조,가공업체,195.7,56.79,180.1,8.32,34.0,66.6,양품
LOT00552,2호기,A조,다공업체,182.5,51.58,138.8,5.67,18.4,52.8,양품
LOT00553,1호기,C조,가공업체,201.3,44.54,132.8,5.8,48.2,81.4,불량
LOT00554,2호기,B조,가공업체,183.4,42.73,153.0,6.98,38.2,56.7,양품
LOT00555,4호기,A조,가공업체,176.1,46.31,164.7,4.3,38.7,34.6,양품
LOT00556,3호기,A조,나공업체,166.5,50.01,131.3,6.06,29.3,49.0,불량
LOT00557,2호기,C조,가공업체,194.2,45.18,166.8,6.84,47.0,46.0,양품
LOT00558,2호기,C조,가공업체,181.3,36.11,188.3,6.73,40.9,77.0,양품
LOT00559,4호기,B조,가공업체,224.4,40.03,180.0,7.75,37.6,59.3,양품
LOT00560,4호기,B조,나공업체,191.8,32.89,155.7,6.17,29.6,34.1,불량
LOT00561,2호기,A조,나공업체,189.2,34.5,135.1,7.02,20.5,57.4,양품
LOT00562,1호기,C조,가공업체,156.6,37.31,168.7,6.45,36.7,73.5,양품
LOT00563,1호기,A조,나공업체,203.4,44.62,143.0,6.1,44.3,67.2,불량
LOT00564,1호기,B조,다공업체,196.9,42.26,147.9,7.2,38.8,42.1,양품
LOT00565,3호기,A조,가공업체,186.5,39.51,146.2,6.65,37.9,56.0,불량
LOT00566,1호기,B조,가공업체,173.0,43.42,146.8,5.36,42.7,60.1,양품
LOT00567,1호기,C조,나공업체,159.1,49.52,166.8,6.51,29.0,68.6,불량
LOT00568,1호기,B조,가공업체,174.2,35.84,167.3,6.57,16.6,52.2,양품
LOT00569,4호기,C조,가공업체,167.8,38.35,166.0,6.58,33.6,58.4,불량
LOT00570,2호기,A조,다공업체,182.9,39.76,154.6,5.58,48.1,50.2,양품
LOT00571,1호기,C조,나공업체,190.7,41.41,170.2,7.51,35.9,53.8,양품
LOT00572,2호기,B조,다공업체,189.0,49.29,143.9,5.4,36.7,50.0,불량
LOT00573,2호기,A조,가공업체,191.0,44.57,127.0,6.43,40.7,62.2,양품
LOT00574,1호기,A조,가공업체,201.9,32.67,151.0,7.47,42.0,54.7,양품
LOT00575,1호기,C조,가공업체,181.1,46.38,132.9,6.41,37.8,66.4,양품
LOT00576,3호기,C조,나공업체,179.8,42.52,173.7,4.75,26.4,33.2,양품
LOT00577,3호기,B조,나공업체,167.4,38.24,141.6,6.03,46.6,71.3,양품
LOT00578,3호기,B조,가공업체,179.9,41.97,117.8,5.64,22.2,66.3,불량
LOT00579,1호기,A조,나공업체,207.9,37.24,142.9,5.72,28.6,60.0,양품
LOT00580,2호기,B조,가공업체,206.2,34.65,161.1,6.38,28.0,83.3,양품
LOT00581,2호기,A조,가공업체,185.0,33.81,,5.15,49.1,63.6,불량
LOT00582,1호기,A조,나공업체,169.8,43.44,177.9,5.33,21.5,62.2,양품
LOT00583,1호기,A조,다공업체,189.4,50.46,125.3,6.52,12.9,60.8,양품
LOT00584,4호기,A조,가공업체,171.2,43.14,149.2,6.81,53.9,53.5,양품
LOT00585,2호기,A조,다공업체,179.4,46.85,152.9,7.69,26.1,57.9,양품
LOT00586,3호기,A조,나공업체,201.8,44.64,149.2,6.5,44.8,68.8,양품
LOT00587,1호기,C조,다공업체,165.7,44.17,160.0,6.33,29.7,43.6,양품
LOT00588,3호기,B조,가공업체,171.2,41.44,,5.05,33.5,53.6,불량
LOT00589,3호기,C조,나공업체,158.8,42.47,151.9,5.65,46.0,75.6,불량
LOT00590,2호기,C조,나공업체,201.1,53.8,107.4,7.13,21.7,47.1,불량
LOT00591,1호기,C조,다공업체,189.8,35.1,127.6,6.37,51.0,42.5,양품
LOT00592,1호기,B조,다공업체,193.0,38.17,152.1,7.12,49.0,37.4,양품
LOT00593,1호기,C조,가공업체,181.4,38.43,163.1,6.09,54.7,55.9,양품
LOT00594,3호기,B조,나공업체,205.1,41.49,169.7,5.71,23.5,55.9,불량
LOT00595,1호기,C조,나공업체,184.1,41.56,149.5,7.04,33.1,72.7,양품
LOT00596,2호기,B조,가공업체,176.2,43.35,116.5,6.09,15.3,54.3,양품
LOT00597,3호기,B조,가공업체,171.4,44.37,82.1,6.82,32.2,67.5,양품
LOT00598,1호기,B조,나공업체,182.9,42.89,,4.91,36.9,48.1,양품
LOT00599,3호기,A조,나공업체,217.3,24.22,125.3,7.03,39.0,49.7,불량
LOT00600,3호기,C조,가공업체,185.9,40.5,152.3,6.21,33.2,65.9,양품
LOT00601,3호기,B조,다공업체,179.0,37.68,171.1,6.08,43.3,51.9,양품
LOT00602,4호기,A조,나공업체,197.3,37.04,148.4,6.56,48.6,63.5,불량
LOT00603,3호기,B조,나공업체,173.6,38.15,171.2,5.44,43.4,35.6,양품
LOT00604,1호기,B조,가공업체,188.3,42.85,119.2,5.99,28.5,63.8,양품
LOT00605,1호기,A조,가공업체,179.8,53.09,115.1,5.39,51.1,55.3,불량
LOT00606,3호기,B조,가공업체,198.2,46.46,135.7,6.69,41.5,45.9,양품
LOT00607,1호기,A조,나공업체,201.0,44.73,132.7,6.62,16.5,52.5,양품
LOT00608,1호기,B조,나공업체,190.4,51.24,135.6,5.74,26.4,41.9,불량
LOT00609,1호기,C조,나공업체,197.9,49.3,153.7,7.38,24.4,79.4,양품
LOT00610,1호기,C조,가공업체,192.8,37.54,157.0,7.48,40.4,63.1,양품
LOT00611,2호기,C조,가공업체,172.1,42.91,143.3,6.74,37.8,52.7,양품
LOT00612,1호기,C조,가공업체,183.4,60.84,133.6,5.71,37.9,67.3,불량
LOT00613,2호기,A조,나공업체,166.4,38.44,132.7,5.89,31.7,55.2,양품
LOT00614,1호기,B조,나공업체,187.5,35.13,127.3,5.97,46.8,29.7,양품
LOT00615,1호기,B조,가공업체,195.1,40.21,166.2,7.31,29.4,42.0,양품
LOT00616,2호기,A조,가공업체,173.1,44.5,213.0,7.05,32.7,59.5,양품
LOT00617,3호기,B조,가공업체,190.5,39.43,171.1,7.11,40.8,64.3,양품
LOT00618,2호기,C조,나공업체,169.8,39.83,128.5,7.06,25.9,47.9,양품
